[NM_014874, 129]
[NM_021933, 3]
[NM_001066, 20]
[NM_015378, 100]
[NM_018156, 100]
[NM_004753, 59]
[NM_001302551, 49]
[NM_001146181, 49]
[NM_001013631, 49]
[NM_001136561, 10]
[NM_001006624, 9]
[NM_001006625, 9]
[NM_006474, 9]
[NM_198389, 9]
[NM_001007257, 52]
[NM_012231, 45]
[NM_015866, 52]
[NM_001135610, 6]
[NM_001017999, 24]
[NM_001018000, 24]
[NM_001018001, 24]
[NM_015209, 24]
[NM_201628, 3]
[NR_027136, 3]
[NM_001136216, 29]
[NM_001136217, 29]
[NM_001136218, 29]
[NM_018022, 29]
[NM_052929, 1]
[NM_024329, 15]
[NM_001229, 10]
[NM_001278054, 10]
[NM_032996, 10]
[NR_102732, 10]
[NR_102733, 7]
[NM_001287811, 53]
[NM_015291, 53]
[NR_109898, 53]
[NM_024758, 33]
[NM_032341, 8]
[NM_006511, 13]
[NM_015164, 36]
[NM_207348, 11]
[NM_001013641, 1]
[NM_001024215, 12]
[NM_001024216, 68]
[NM_017556, 68]
[NM_001089591, 47]
[NR_024279, 6]
[NM_015001, 75]
[NM_001242884, 7]
[NM_001287603, 7]
[NM_001287604, 7]
[NM_003443, 7]
[NM_178840, 1]
[NM_014424, 53]
[NM_001042704, 32]
[NM_001257139, 32]
[NM_004070, 34]
[NM_000085, 25]
[NM_001165945, 17]
[NM_182623, 4]
[NM_004431, 6]
[NM_153213, 2]
[NM_030907, 3]
[NM_018994, 17]
[NM_001114600, 133]
[NR_073501, 133]
[NR_073502, 133]
[NM_001271869, 133]
[NR_073503, 133]
[NR_073500, 126]
[NM_198546, 1]
[NM_001145277, 39]
[NM_018090, 39]
[NM_001145278, 37]
[NR_023386, 16]
[NM_017940, 8]
[NR_026752, 5]
[NR_027504, 12]
[NM_001271733, 127]
[NM_014675, 5]
[NM_001135247, 2]
[NM_001135248, 2]
[NM_002403, 2]
[NM_017459, 2]
[NM_001141973, 19]
[NM_001141974, 18]
[NM_022089, 19]
[NM_003000, 56]
[NM_007365, 30]
[NM_016233, 2]
[NM_001136204, 29]
[NM_018715, 29]
[NM_001011722, 50]
[NM_018125, 50]
[NM_032880, 2]
[NM_152375, 69]
[NM_170726, 56]
[NM_001161504, 148]
[NM_003748, 148]
[NM_001136265, 47]
[NM_020765, 128]
[NM_001271427, 63]
[NM_001271428, 63]
[NM_001271429, 63]
[NM_015047, 63]
[NM_016183, 14]
[NR_040288, 9]
[NR_040289, 9]
[NM_012067, 8]
[NR_037847, 5]
[NM_003689, 21]
[NM_001040125, 10]
[NM_017765, 10]
[NR_109848, 5]
[NM_001040126, 8]
[NM_001287531, 8]
[NM_001206540, 107]
[NM_001206541, 103]
[NM_001282162, 105]
[NM_004930, 107]
[NM_001032363, 106]
[NM_001204082, 106]
[NM_001204083, 106]
[NM_001204088, 50]
[NM_001204089, 50]
[NR_033757, 106]
[NR_033758, 106]
[NR_077246, 211]
[NM_005380, 37]
[NM_001204084, 36]
[NM_001204085, 36]
[NM_001204086, 36]
[NM_001278164, 36]
[NM_001278165, 36]
[NM_001278166, 36]
[NM_182744, 36]
[NM_181719, 25]
[NM_019062, 41]
[NM_015207, 57]
[NM_000300, 17]
